time,AL
2008-06-01,2967.869048
2008-07-01,3067.456522
2008-08-01,2762.56
2008-09-01,2524.147727
2008-10-01,2122.028261
2008-11-01,1857.13
2008-12-01,1504.416667
2009-01-01,1420.359524
2009-02-01,1338.0625
2009-03-01,1338.079545
2009-04-01,1431.8125
2009-05-01,1466.671053
2009-06-01,1579.627273
2009-07-01,1670.556522
2009-08-01,1927.6375
2009-09-01,1835.597727
2009-10-01,1875.663636
2009-11-01,1956.547619
2009-12-01,2181.257143
2010-01-01,2230.1125
2010-02-01,2053.27
2010-03-01,2210.530435
2010-04-01,2314.2775
2010-05-01,2044.710526
2010-06-01,1929.409091
2010-07-01,1989.045455
2010-08-01,2110.440476
2010-09-01,2171.243182
2010-10-01,2342.178571
2010-11-01,2324.045455
2010-12-01,2356.669048
2011-01-01,2439.7
2011-02-01,2515.26
2011-03-01,2555.5
2011-04-01,2667.416667
2011-05-01,2587.2125
2011-06-01,2557.761364
2011-07-01,2525.428571
2011-08-01,2380.975
2011-09-01,2293.461364
2011-10-01,2180.647619
2011-11-01,2079.981818
2011-12-01,2024.375
2012-01-01,2151.333333
2012-02-01,2207.916667
2012-03-01,2184.159091
2012-04-01,2048.505263
2012-05-01,2002.522727
2012-06-01,1885.513158
2012-07-01,1876.25
2012-08-01,1843.327273
2012-09-01,2064.12
2012-10-01,1974.304348
2012-11-01,1948.829545
2012-12-01,2086.763158
2013-01-01,2037.606818
2013-02-01,2053.595
2013-03-01,1911.2825
2013-04-01,1861.02381
2013-05-01,1832.571429
2013-06-01,1814.5375
2013-07-01,1769.608696
2013-08-01,1816.235714
2013-09-01,1761.304762
2013-10-01,1814.582609
2013-11-01,1747.964286
2013-12-01,1739.81
2014-01-01,1727.411364
2014-02-01,1695.165
2014-03-01,1705.366667
2014-04-01,1810.675
2014-05-01,1751.05
2014-06-01,1838.952381
2014-07-01,1948.304348
2014-08-01,2030.4925
2014-09-01,1990.431818
2014-10-01,1946.18913
2014-11-01,2055.555
2014-12-01,1909.459524
2015-01-01,1814.719048
2015-02-01,1817.82
2015-03-01,1773.863636
2015-04-01,1819.1875
2015-05-01,1804.039474
2015-06-01,1687.727273
2015-07-01,1639.5
2015-08-01,1548.125
2015-09-01,1589.602273
2015-10-01,1516.488636
2015-11-01,1467.892857
2015-12-01,1497.202381
2016-01-01,1481.1
2016-02-01,1531.261905
2016-03-01,1531.011905
2016-04-01,1571.22619
2016-05-01,1550.625
2016-06-01,1593.506818
2016-07-01,1629.047619
2016-08-01,1639.284091
2016-09-01,1592.363636
2016-10-01,1665.904762
2016-11-01,1737.113636
2016-12-01,1727.7375
2017-01-01,1791.238095
2017-02-01,1860.75
2017-03-01,1901.467391
2017-04-01,1921.222222
2017-05-01,1913.02381
2017-06-01,1885.286364
2017-07-01,1902.964286
2017-08-01,2030.011364
2017-09-01,2096.488095
2017-10-01,2131.488636
2017-11-01,2097.440909
2017-12-01,2080.473684
2018-01-01,2209.727273
2018-02-01,2181.7875
2018-03-01,2069.238095
2018-04-01,2254.6875
2018-05-01,2299.666667
2018-06-01,2237.619048
2018-07-01,2082.238636
2018-08-01,2051.511364
2018-09-01,2026.4625
2018-10-01,2029.858696
2018-11-01,1938.511364
2018-12-01,1920.381579
2019-01-01,1853.715909
2019-02-01,1862.9875
2019-03-01,1871.214286
2019-04-01,1845.425
2019-05-01,1781.261905
2019-06-01,1755.95
2019-07-01,1796.98913
2019-08-01,1740.678571
2019-09-01,1753.511905
2019-10-01,1725.956522
2019-11-01,1774.785714
2019-12-01,1771.38
2020-01-01,1773.090909
