Trade,Product,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug
Import,Total of all merchandise,29851.8,30129.4,32885.6,31630.9,29362.1,30436.6,31085,30946.4,31695.7,32495.1,31977.9,31823.2,28936.4,30815.5,36460.7,33150.5,34709.1,36263.8,34083.3,36301.8,36515.3,36565.1,35993.3,34209.1,33449.7,33257.4,40281,36925.1,38628,39452.3,35947.2,40209.4,39369.4,41062.4,40515.3,37298.1,36882.1,38113.4,41582.1,39252.4,41575.5,41504.4,39565.3,40643.7,38072.9,41176.7,40859.7,35943.4,37382.8,37408.7,40971.6,42149.9,41995.5,40575,40158.6,42056.2,41212.2,43363.7,41437.4,39048.3,38878,39448.9,44424.3,44397.2,45740.7,44849.8,43574.5,44129.3,45346.7,47799.6,43582.3,42880.6,41402.9,41380.8,48753.8,46271.1,45626.8,47555.5,45980.2,46997.5,47184.6,47302.6,46080,44528.9,42556.9,44133.4,47167.5,45224.4,45733.1,47477.2,43251.7,47660.7,48775.9,46506.2,45725.1,43137,43306,43734.9,50890.8,47807.9,52070,52083.9,45358.8,48933.8,46931.1,47466.7,49971.1,46469.3,44910.1,44980.8,53738.1,51269,54167,53758.4,50612.3,53305.3,50242.5,52604.3,50534.4,47848,48907,47206.9,54715.1,52820.2,55117.1,51670,51022.3,53107.1,50460.1,52834.6,49185.5,47351.7,46837.9,46789.8,51499.5,38091.3,36178.2,45209.4,48128.5,48937.4,50644.5,52261.1,50040.6,48505.3,45569.2,45032.3,56302.8,51306.5,51998.4,53575.6,52927.2,54387.5,53051.8,55884.3,56769.4,58020.8,50073.9,52697.1,67745.4,64347.7,65766,68598.1,63862,68952.9,66831.8,67749,64789.8,61090.2,59976.2,57967.9,67900.5,61790,68202.9,68136.7,61119.8,67976.3,65569.7,66309.2,65149.3,60452.3,57532.2,60994.9,66244.8,67302.1,67504.3,66470.7,65457.3,67802.2,65650.1,69410.5,66039.7,65344.5,65334.3,64928.8,73520.7,67911.6,68226,68308,66463.5,67336.9
,Energy products,2787.5,2511.6,2305.8,2709.2,2544.2,2671.1,3222.5,2976.6,2616.6,2744,2801.6,3368.2,3104.8,2781.3,3469.1,3171.6,3373.8,2895.3,3458.1,3776.9,3153.3,2945.6,3332.2,3393.6,3640,3291.4,4467.9,4250.7,4655,4158.2,3847.1,3982.4,3990.9,4260.8,4589.7,3766.8,3915.5,4167.7,3768.9,3719.8,4510.4,3861.9,4334.6,4126.9,3629.3,3996.3,4289.4,3886.4,4294.4,3796.9,3817.7,4004.9,4002.4,4127,3636.1,4031,3863.1,3595.6,3523,3776.7,3602.7,3718.5,4003,3931.3,4064.7,4184.3,4426.5,3699.6,3771.5,3125.6,3528.9,3167.5,2557.3,2431.5,2703.3,3017.8,3119.4,3193.3,3077.9,2867.3,2530.7,2248.8,2433.1,2200.3,2101,1542.7,1966.3,2006.7,2636,2994.1,2899.7,2672.1,2332.7,2519.6,2429.3,2183.3,2908.7,2817,2492.9,2848.3,3134.9,2993.7,2895.5,2314,2870.8,2729,2788.4,3155.7,2976.3,2726.8,2670.8,3302.6,3946.1,3389.8,3764.9,3710.2,3147.9,3123.3,2764.4,3225.6,2838,2686.2,3026,3344.2,3619.4,2820.8,3125.9,3340.8,3159,3388.6,3265.7,3120,3268.9,2467,2251.4,1245.6,1160.1,1701.6,1722.7,1618.9,2185,1945.1,1817,1860.3,2087.7,1751.8,2444.8,2543.1,2327.2,2668,2979.7,3130.9,2731.8,2992.6,3351.5,3475.2,2776,2945.7,4015.9,4136.2,4641.6,5614.9,5030.3,5262.5,3824.3,4266.6,4431,4788.5,3756.4,3315.6,3803.2,3256,3709.1,3542.6,4056.3,4471.2,3640.4,3386,3991.7,3272.9,3163.8,3181.8,3492.5,3352.5,3129,3346.9,3765.8,3489.7,3394.7,3153.6,3479.7,3215.4,3366.7,3441.8,3143,3111.1,3032.9,3248.5,3823.8,3103.5
Export,Total of all merchandise,29498.9,30266.2,33863,30543.7,28611.3,30082.4,30458.1,29033.1,30447.6,32092,31603.5,31601.7,30914.5,30897.3,34764.4,33318.3,34613.7,34337.8,32013.8,33754.2,33600.4,35018.3,35270.5,36348.9,35539,33250.7,39315.8,36595.5,37966.1,37569.2,36289,38762,40137.8,40005.9,40931.9,41222.4,37867.6,37650.5,41015.7,38432.6,40128.2,39235.3,35885.4,38003.9,37754.3,40116.1,38900.7,37648.2,37546.1,36747.3,41939.5,40708.4,40966.8,40383.5,37576.8,40592.8,41526.3,42125.9,40200.9,40203,39859.7,40616.1,46837.7,43141.9,46289.3,46376.1,43859.3,44037,45826.5,46684.2,43287.9,43812.9,40990.7,39852.4,45861.5,42634.7,43022.8,46980.5,43732.6,43474.2,45297.8,44829.1,43335.9,45301.1,43340.2,41214.9,44253.6,40964.7,41907.5,43159.4,40410.4,43873.8,44683.3,45306.3,46969.9,46216.9,45157.5,42403.5,49995.9,45766.4,50397.8,48342.5,41598.8,43689,43732.8,45864.6,47035.2,46540.8,45123.3,42665.7,50232.5,48650.4,51630.4,52998.2,49445.2,50514,49618.3,51910.3,47821.9,45554.7,46960.8,44163.5,52688.1,50342.2,55082.3,50841.6,48277.2,49457.6,49332.4,50340.7,48564.6,49548.4,45783.8,43760.8,46816.1,31170.4,34770,42699.4,44094.6,44201.3,46339.8,47510.2,47183.3,48146.4,48929.3,46204.2,54308,49709.6,51368.7,55065.7,52708.2,53827.4,52731.9,57019,58703.8,57999.7,55758.7,56016.2,69882.1,64609.6,74279.5,71830.7,65640.6,65488.6,65137.8,66440.7,64313.7,64301.6,64845.8,58495.5,68731.4,62666.1,65807.2,62548.5,59639.4,65119.8,65390.8,68754.2,65550.4,62391.7,60369.6,61800,65705,65143.5,65651.2,66682.2,64684.2,62892.1,63234.6,67721.6,65763.5,69336.6,72700.7,64634.9,71346.1,58708.9,61992.7,62605.9,61547.8,58840
,Energy products,6236.9,5765.1,6106.5,5537.1,5355,6393.2,6914.8,6630.6,6095.4,6553.2,6952,7806.2,7816.6,7065.8,7247.3,7045.4,7297.4,6818.8,7418.5,6974.2,6322.8,6361,6970.4,8694.4,8815.2,7753.1,8741.8,8908.9,8875.9,8587.3,9008.9,8824.3,8782.8,8732.8,9573.2,10411,10143.6,9353.4,9387,8952.3,8667.3,8429.7,8294.3,8754.1,8248.9,8563.7,8812.3,9090.7,9330.1,8899.2,9759.6,9267.9,9486.2,9389,9904.5,11002.7,10449,9990.8,9211.2,10256.8,11498.3,11944.1,12983.3,10397.9,11748.8,11423.1,11570.9,11235.9,10245.3,9839.5,9618.8,8565.8,7933.7,7785.5,7437.5,7259.9,7800,8024.3,7730.7,7140.5,6411.2,6391.3,5998.1,5890.9,6104.6,4610.9,4992.4,4966.7,5588.9,5860,6298.8,6632.8,6237.4,6887.9,7539.9,8702.6,8950,7923.8,8471.9,8114.2,8814.8,7695.8,7546.3,7541.1,7361.3,7788.2,8032.1,9041,9916,8381.7,9367.8,9734.5,10742.1,10598.6,11141.2,10715.2,9930.2,9827.8,7462.5,6617.9,8826.3,9125.5,11342.1,10581.4,11120.1,9503,10045.8,9607.1,9140.9,9131.7,9254.2,10274.6,9207.5,7452.7,5659.1,2862.9,3672.3,5527,6607.5,6732.8,5857.5,6484.8,6764.1,8005.2,8892.3,9930.4,10167,9490.1,10208.4,10893,11985.8,11773.3,11894.6,13820.3,14338.5,13481.8,15650.6,15569.6,19816.9,18954.3,21308.4,20953.2,20075.4,18176.7,16759.1,16430.8,14965.3,16333.3,16368.9,13768.2,14174.7,13507.7,13966,12861.7,13644.3,15427.6,15386.2,15887.3,15271.4,13882.9,15116.8,14025.3,15234,14421.2,15173.5,15498.5,15769.2,14916.6,13097.7,14251.8,13863.1,15774.2,17791.6,15411.4,14432.6,11932.4,12483.9,12616.9,14022.4,13885.7
